number,name,symbol,mass,neutrons,negativity,outerElectrons,electronConfig,groupNumber,phase,firstIonizationEnergy,halflife,meltingPoint,boilingPoint,sublimationPoint,density20,density0
1,Wasserstoff,H,1.00,0,2.2,1,1s^1,1,gas,1312,0,-259.14,-252,,,0.090
2,Helium,He,4.00,,,2,1s^2,18,gas,2372.3,,−272.2,−269,,,0.179
3,Lithium,Li,6.94,,0.98,1,2s^1,1,solid,520.2,,180.54,1330,,0.534,
4,Beryllium,Be,9.01,,1.57,2,2s^2,2,solid,899.5,,1287,2969,,1.848,
5,Bor,B,10.81,,2.04,3,2s^2 2p^1,13,solid,800.6,,2076,3930,,2.460,
6,Kohlenstoff,C,12.01,,2.55,4,2s^2 2p^2,14,solid,1086.5,,,,3642,"Graphit: 2.26, Diamant: 3.51",
7,Stickstoff,N,14.01,,3.04,5,2s^2 2p^3,15,gas,1402.3,,−210.1,−196,,,1.250
8,Sauerstoff,O,16.00,,3.44,6,2s^2 2p^4,16,gas,1313.9,,−218.3,−183,,,1.429
9,Fluor,F,19.00,,4,7,2s^2 2p^5,17,gas,1681,,−219.62,−188,,,1.697
10,Neon,Ne,20.18,,,8,2s^2 2p^6,18,gas,2080.7,,−248.59,−246,,,0.900
11,Natrium,Na,22.99,,0.93,1,3s^1,1,solid,495.8,,97.72,890,,0.968,
12,Magnesium,Mg,24.31,,1.31,2,3s^2,2,solid,737.7,,650,1110,,1.738,
13,Aluminium,Al,26.98,,1.61,3,3s^2 3p^1,13,solid,577.5,,660.2,2470,,2.699,
14,Silicium,Si,28.09,,1.9,4,3s^2 3p^2,14,solid,786.5,,1410,3260,,2.336,
15,Phosphor,P,30.97,,2.19,5,3s^2 3p^3,15,solid,1011.8,,44.2,280,,"weiß: 1.83, rot: 2.0...2.4, schwarz: 2.69",
16,Schwefel,S,32.06,,2.58,6,3s^2 3p^4,16,solid,999.6,,115.21,445,,2.070,
17,Chlor,Cl,35.45,,3.16,7,3s^2 3p^5,17,gas,1251.2,,−101.5,−34.6,,,3.215
18,Argon,Ar,39.95,,,8,3s^2 3p^6,18,gas,1520.8,,−189.3,−186,,,1.784
19,Kalium,K,39.10,,0.82,1,4s^1,1,solid,418.8,,63.38,774,,0.856,
20,Calcium,Ca,40.08,,1,2,4s^2,2,solid,589.8,,842,1487,,1.550,
21,Scandium,Sc,44.96,,1.36,3,3d^1 4s^2,3,solid,633.1,,1541,2730,,2.985,
22,Titan,Ti,47.87,,1.54,4,3d^2 4s^2,4,solid,658.8,,1668,3260,,4.500,
23,Vanadium,V,50.94,,1.63,5,3d^3 4s^2,5,solid,650.9,,1910,3407,,6.110,
24,Chrom,Cr,52.00,,1.66,6,3d^5 4s^1,6,solid,652.9,,1907,2482,,7.140,
25,Mangan,Mn,54.94,,1.55,7,3d^5 4s^2,7,solid,717.3,,1246,2100,,7.430,
26,Eisen,Fe,55.85,,1.83,8,3d^6 4s^2,8,solid,762.5,,1538,3000,,7.874,
27,Cobalt,Co,58.93,,1.88,9,3d^7 4s^2,9,solid,760.4,,1495,2900,,8.900,
28,Nickel,Ni,58.69,,1.91,10,3d^8 4s^2,10,solid,737.1,,1455,2730,,8.908,
29,Kupfer,Cu,63.55,,1.9,11,3d^10 4s^1,11,solid,745.5,,1084.62,2595,,8.920,
30,Zink,Zn,65.38,,1.65,12,3d^10 4s^2,12,solid,906.4,,419.53,907,,7.140,
31,Gallium,Ga,69.72,,1.81,3,3d^10 4s^2 4p^1,13,solid,578.8,,29.76,2400,,5.904,
32,Germanium,Ge,72.63,,2.01,4,3d^10 4s^2 4p^2,14,solid,762,,938.3,2830,,5.323,
33,Arsen,As,74.92,,2.18,5,3d^10 4s^2 4p^3,15,solid,947,,,,613,"grau: 5.72, gelb: 1.97, schwarz: 4.7–5.1",
34,Selen,Se,78.97,,2.55,6,3d^10 4s^2 4p^4,16,solid,941,,221,685,,"schwarzes Se bei 60 °C: 4.28, graues Se bei 25 °C: 4.819, rotes Se bei 25 °C: 4.48",
35,Brom,Br,79.90,,2.96,7,3d^10 4s^2 4p^5,17,liquid,1139.9,,−7.3,58.5,,"3.12 bei 300K",
36,Krypton,Kr,83.80,,3,8,3d^10 4s^2 4p^6,18,gas,1350.8,,−157.36,−152,,,3.749
37,Rubidium,Rb,85.47,,0.82,1,5s^1,1,solid,403,,39.31,688,,1.532,
